id,学校名,エリア,都県,共学別学,住所,最寄り駅,徒歩分,SAPIX偏差値_min,SAPIX偏差値_max,四谷大塚偏差値_min,四谷大塚偏差値_max,校風,探究レベル,AI教育,ICT環境,未来志向,情熱適性,自走力適性,表現力適性,協働力適性,通学エリア,特徴
s122,桐光学園中学校,川崎市,神奈川,共学,神奈川県川崎市麻生区栗木3-12-1,栗平駅,12,38,42,42,50,バランス,3,3,3,3,3,3,3,3,"川崎,横浜,町田,大田","進学実績,文武両道,バランス,自然"
s123,湘南学園中学校,藤沢市,神奈川,共学,神奈川県藤沢市鵠沼松が岡4-1-32,鵠沼海岸駅,8,35,35,46,47,自由,4,3,3,4,3,3,4,4,"藤沢,鎌倉,茅ヶ崎,横浜","自由,探究,ESD,国際"
s124,自修館中等教育学校,伊勢原市,神奈川,共学,神奈川県伊勢原市見附島411,愛甲石田駅,バス5,32,32,40,41,バランス,4,3,3,4,3,3,3,3,"伊勢原,秦野,平塚,厚木","探究,セルフサイエンス,少人数,バランス"
s125,横浜創英中学校,横浜市,神奈川,共学,神奈川県横浜市神奈川区西大口28,大口駅,6,32,32,42,46,バランス,4,3,3,4,3,3,3,3,"横浜,川崎,大田,品川","探究,工藤勇一校長,改革,バランス"
s126,市立稲毛国際中等教育学校,千葉市,千葉,共学,千葉県千葉市美浜区高浜3-1-1,稲毛海岸駅,15,50,50,55,55,バランス,4,3,4,4,4,4,4,4,"千葉,習志野,船橋,市川","公立,国際,探究,バランス"
s127,VERITAS中学校,松戸市,千葉,共学,千葉県松戸市秋山68,秋山駅,8,30,30,48,48,バランス,4,4,4,4,3,3,4,4,"松戸,柏,市川,葛飾","理数,STEAM,新設校,探究"
s128,東海大学付属浦安高等学校中等部,浦安市,千葉,共学,千葉県浦安市東野3-11-1,舞浜駅,バス10,31,31,42,42,バランス,3,3,3,3,3,3,3,3,"浦安,市川,江戸川,船橋","大学附属,バランス,スポーツ,教養"
s129,流通経済大学付属柏中学校,柏市,千葉,共学,千葉県柏市十余二1-20,柏の葉キャンパス駅,バス5,32,32,40,40,バランス,3,3,3,3,3,3,3,3,"柏,松戸,流山,我孫子","大学附属,スポーツ,バランス,教養"
s130,国府台女子学院中学部,市川市,千葉,女子校,千葉県市川市菅野3-24-1,菅野駅,5,40,40,50,50,バランス,3,3,3,3,3,3,3,3,"市川,船橋,江戸川,松戸","仏教,教養,伝統,バランス"
s131,和洋国府台女子中学校,市川市,千葉,女子校,千葉県市川市国府台2-3-1,国府台駅,5,31,31,39,40,バランス,3,3,3,3,3,3,3,3,"市川,船橋,江戸川,松戸","教養,伝統,礼法,バランス"
s132,県立平塚中等教育学校,平塚市,神奈川,共学,神奈川県平塚市大原1-13,平塚駅,バス10,42,42,57,57,バランス,4,3,3,4,3,4,4,4,"平塚,茅ヶ崎,藤沢,秦野","公立,探究,バランス,進学"
s133,川崎市立川崎高等学校附属中学校,川崎市,神奈川,共学,神奈川県川崎市川崎区中島3-3-1,川崎駅,バス10,38,38,54,54,バランス,3,3,3,3,3,3,3,4,"川崎,横浜,大田,品川","公立,バランス,探究,国際"
s134,横浜女学院中学校,横浜市,神奈川,女子校,神奈川県横浜市中区山手町203,石川町駅,7,32,35,43,47,バランス,3,3,3,3,3,3,3,3,"横浜,川崎,品川,大田","キリスト教,教養,国際,バランス"
s135,聖園女学院中学校,藤沢市,神奈川,女子校,神奈川県藤沢市みその台1-4,藤沢本町駅,10,32,32,39,41,バランス,3,3,3,3,3,3,3,3,"藤沢,鎌倉,茅ヶ崎,横浜","カトリック,教養,少人数,温かさ"
s136,聖セシリア女子中学校,大和市,神奈川,女子校,神奈川県大和市南林間3-10-1,南林間駅,5,32,32,41,44,バランス,3,3,3,3,3,3,3,3,"大和,海老名,藤沢,横浜","カトリック,少人数,教養,温かさ"
s137,日本女子大学附属中学校,川崎市,神奈川,女子校,神奈川県川崎市多摩区西生田1-1-1,読売ランド前駅,10,39,46,49,51,自由,3,3,3,3,3,3,4,4,"川崎,横浜,大田,世田谷","大学附属,自由,自主性,教養"
s138,清泉女学院中学校,鎌倉市,神奈川,女子校,神奈川県鎌倉市城廻200,大船駅,バス10,36,40,47,49,バランス,3,3,3,3,3,3,3,4,"鎌倉,藤沢,逗子,横浜","カトリック,国際,教養,温かさ"
s139,神奈川学園中学校,横浜市,神奈川,女子校,神奈川県横浜市神奈川区沢渡18,横浜駅,10,32,32,39,42,バランス,3,3,3,3,3,3,3,3,"横浜,川崎,大田,品川","探究,教養,バランス,温かさ"
s140,星野学園中学校,川越市,埼玉,共学,埼玉県川越市石原町2-71-11,西川越駅,5,34,40,43,52,バランス,3,3,3,3,3,3,3,3,"川越,ふじみ野,所沢,朝霞","進学実績,バランス,伝統,教養"
s141,西武学園文理中学校,狭山市,埼玉,共学,埼玉県狭山市柏原新田311-1,新狭山駅,バス10,34,38,41,49,バランス,3,3,3,3,3,3,3,3,"狭山,入間,所沢,川越","進学実績,グローバル,バランス,教養"
s142,埼玉栄中学校,さいたま市,埼玉,共学,埼玉県さいたま市西区西大宮3-11-1,西大宮駅,3,30,32,38,44,バランス,3,3,3,3,3,3,3,3,"さいたま,大宮,上尾,川口","スポーツ,バランス,進学,教養"
s143,春日部共栄中学校,春日部市,埼玉,共学,埼玉県春日部市上大増新田213,春日部駅,バス10,34,38,42,50,バランス,3,3,3,3,3,3,3,3,"春日部,越谷,草加,さいたま","進学実績,バランス,文武両道,教養"
s144,獨協埼玉中学校,越谷市,埼玉,共学,埼玉県越谷市恩間新田寺前316,せんげん台駅,バス5,34,36,41,46,バランス,3,3,3,3,3,3,3,4,"越谷,草加,春日部,さいたま","大学附属,ドイツ語,教養,自然"
s145,浦和明の星女子中学校,さいたま市,埼玉,女子校,埼玉県さいたま市緑区東浦和6-4-19,東浦和駅,8,52,56,63,67,バランス,3,3,3,4,4,4,3,4,"さいたま,浦和,川口,大宮","カトリック,進学実績,教養,伝統"
s146,大妻嵐山中学校,嵐山町,埼玉,女子校,埼玉県比企郡嵐山町菅谷558,武蔵嵐山駅,8,30,30,35,40,バランス,3,3,3,3,3,3,3,3,"嵐山,東松山,熊谷,川越","教養,自然,バランス,温かさ"
s147,開智未来中学校,加須市,埼玉,共学,埼玉県加須市麦倉1238,柳生駅,バス5,32,38,40,48,バランス,4,3,3,4,4,3,4,3,"加須,久喜,羽生,鴻巣","探究,哲学,PBL,自走力"
s148,昌平中学校,杉戸町,埼玉,共学,埼玉県北葛飾郡杉戸町下野851,杉戸高野台駅,バス5,32,40,40,50,バランス,3,3,4,4,3,3,3,4,"杉戸,春日部,久喜,蓮田","ICT,特待,進学実績,バランス"
s149,細田学園中学校,志木市,埼玉,共学,埼玉県志木市本町2-7-1,志木駅,10,30,34,38,44,バランス,3,3,3,3,3,3,3,3,"志木,朝霞,新座,和光","進学実績,バランス,教養,新設校"
s150,武南中学校,蕨市,埼玉,共学,埼玉県蕨市塚越5-10-21,西川口駅,15,30,30,36,40,バランス,3,3,3,3,3,3,3,3,"蕨,川口,戸田,さいたま","文武両道,バランス,進学,教養"
